Power station;Community;Longitude;Latitude;Capacity(MW);Year completed;Type
Takoradi Thermal Power Station;Takoradi;4.971667;-1.657228;550;2000;Thermal
Kpone Thermal Power Station II;Kpone;5.673900;-0.037500;340;2017;Thermal
Kpone Thermal Power Station I;Kpone;5.734998;-0.010548;230;2016;Thermal
Tema Thermal Power Station;Thema;5.677362;-0.015828;236;2008;Thermal
Sonon Asogli Thermal Power Station ;Kpone;5.68029;-0.047368;200;2010;Thermal
Akosombo Hydroelectric Power Station;Ajena;6.299722;-0.059444;1038;1965;Hydroelectric
Bui Hydroelectric Power Station;Bui Gorge;8.278602;-2.236935;400;2010;Hydroelectric
Kpong Hydroelectric Power Station;Akuse;06.119989;-0.125000;160;1982;Hydroelectric
Nzema Solar Power Station;Aiwiaso Village;6.155567;-2.419711;155;2018-2019 (expected);Solar Power
Gomoa Onyandze;Onyandze, Gomoa East;5.347484;"-0.701991
";20;2016;Solar Power
"Navrongo Solar Power Station
";Navrongo;10.880000;"-1.102778
";2.5.;2013;Solar Power
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;